,Step
1624,222.0
1625,127.0
1626,127.0
1627,175.0
1628,175.0
1629,161.0
1630,154.0
1631,100.0
1632,176.0
1633,189.0
1634,102.0
1635,202.0
1636,124.0
1637,169.0
1638,148.0
1639,221.0
1640,141.0
1641,199.0
1642,115.0
1643,139.0
1644,170.0
1645,138.0
1646,170.0
1647,153.0
1648,150.0
1649,232.0
1650,184.0
1651,172.0
1652,154.0
1653,141.0
1654,156.0
1655,152.0
1656,153.0
1657,181.0
1658,161.0
1659,159.0
1660,132.0
1661,147.0
1662,150.0
1663,129.0
1664,182.0
1665,162.0
1666,177.0
1667,154.0
1668,141.0
1669,208.0
1670,224.0
1671,125.0
1672,130.0
1673,173.0
1674,193.0
1675,151.0
1676,91.0
1677,172.0
1678,144.0
1679,140.0
1680,198.0
1681,172.0
1682,183.0
1683,194.0
1684,204.0
1685,133.0
1686,163.0
1687,196.0
1688,156.0
1689,133.0
1690,171.0
1691,183.0
1692,164.0
1693,122.0
1694,144.0
1695,187.0
1696,107.0
1697,150.0
1698,212.0
1699,172.0
1700,204.0
1701,130.0
1702,149.0
1703,167.0
1704,210.0
1705,192.0
1706,165.0
1707,152.0
1708,109.0
1709,116.0
1710,152.0
1711,178.0
1712,168.0
1713,211.0
1714,209.0
1715,133.0
1716,177.0
1717,196.0
1718,162.0
1719,174.0
1720,136.0
1721,127.0
1722,187.0
1723,139.0
1724,121.0
1725,113.0
1726,147.0
1727,127.0
1728,128.0
1729,118.0
1730,182.0
1731,129.0
1732,140.0
1733,196.0
1734,137.0
1735,125.0
1736,131.0
1737,185.0
1738,129.0
1739,115.0
1740,154.0
1741,162.0
1742,120.0
1743,118.0
1744,163.0
1745,141.0
1746,197.0
1747,127.0
1748,150.0
1749,142.0
1750,154.0
1751,143.0
1752,187.0
1753,187.0
1754,150.0
1755,258.0
1756,150.0
1757,136.0
1758,111.0
1759,201.0
1760,143.0
1761,116.0
1762,174.0
1763,163.0
1764,174.0
1765,211.0
1766,134.0
1767,153.0
1768,155.0
1769,162.0
1770,232.0
1771,161.0
1772,147.0
1773,157.0
1774,175.0
1775,213.0
1776,202.0
1777,142.0
1778,165.0
1779,156.0
1780,143.0
1781,182.0
1782,194.0
1783,150.0
1784,195.0
1785,124.0
1786,150.0
1787,192.0
1788,129.0
1789,141.0
1790,123.0
1791,120.0
1792,157.0
1793,165.0
1794,205.0
1795,190.0
1796,197.0
1797,128.0
1798,94.0
1799,120.0
1800,143.0
1801,194.0
1802,221.0
1803,192.0
1804,153.0
1805,127.0
1806,185.0
1807,115.0
1808,143.0
1809,140.0
1810,171.0
1811,185.0
1812,193.0
1813,131.0
1814,146.0
1815,179.0
1816,135.0
1817,184.0
1818,116.0
1819,99.0
1820,123.0
1821,184.0
1822,215.0
1823,120.0
1824,215.0
1825,172.0
1826,148.0
1827,83.0
1828,179.0
1829,111.0
1830,216.0
1831,139.0
1832,120.0
1833,168.0
1834,156.0
1835,118.0
1836,163.0
1837,175.0
1838,189.0
1839,116.0
1840,202.0
1841,177.0
1842,105.0
1843,111.0
1844,149.0
1845,224.0
1846,183.0
1847,206.0
1848,148.0
1849,165.0
1850,186.0
1851,100.0
1852,117.0
1853,228.0
1854,178.0
1855,138.0
1856,135.0
1857,135.0
1858,150.0
1859,88.0
1860,161.0
1861,135.0
1862,164.0
1863,150.0
1864,152.0
1865,109.0
1866,112.0
1867,150.0
1868,114.0
1869,185.0
1870,173.0
1871,208.0
1872,92.0
1873,154.0
1874,147.0
1875,153.0
1876,113.0
1877,181.0
1878,161.0
1879,142.0
1880,168.0
1881,187.0
1882,123.0
1883,150.0
1884,127.0
1885,187.0
1886,143.0
1887,186.0
1888,211.0
1889,135.0
1890,125.0
1891,151.0
1892,124.0
1893,188.0
1894,97.0
1895,174.0
1896,142.0
1897,155.0
1898,144.0
1899,143.0
1900,142.0
1901,145.0
1902,119.0
1903,142.0
1904,141.0
1905,176.0
1906,174.0
1907,186.0
1908,133.0
1909,174.0
1910,140.0
1911,148.0
1912,146.0
1913,139.0
1914,180.0
1915,161.0
1916,170.0
1917,143.0
1918,210.0
1919,125.0
1920,158.0
1921,121.0
1922,127.0
1923,172.0
1924,198.0
1925,183.0
1926,161.0
1927,195.0
1928,175.0
1929,163.0
1930,153.0
1931,142.0
1932,197.0
1933,130.0
1934,191.0
1935,163.0
1936,174.0
1937,247.0
1938,120.0
1939,197.0
1940,178.0
1941,89.0
1942,198.0
1943,158.0
1944,157.0
1945,167.0
1946,175.0
1947,232.0
1948,167.0
1949,221.0
1950,197.0
1951,138.0
1952,257.0
1953,154.0
1954,137.0
1955,127.0
1956,188.0
1957,151.0
1958,129.0
1959,88.0
1960,231.0
1961,183.0
1962,218.0
1963,189.0
1964,210.0
1965,150.0
1966,238.0
1967,182.0
1968,121.0
1969,174.0
1970,153.0
1971,132.0
1972,149.0
1973,158.0
1974,168.0
1975,135.0
1976,98.0
1977,176.0
1978,107.0
1979,152.0
1980,191.0
1981,117.0
1982,124.0
1983,109.0
1984,106.0
1985,115.0
1986,154.0
1987,184.0
1988,142.0
1989,196.0
1990,171.0
1991,109.0
1992,132.0
1993,138.0
1994,129.0
1995,165.0
1996,148.0
1997,140.0
1998,149.0
1999,105.0
2000,142.0
2001,244.0
2002,170.0
2003,162.0
2004,150.0
2005,192.0
2006,170.0
2007,203.0
2008,57.0
2009,187.0
2010,159.0
2011,142.0
2012,184.0
2013,172.0
2014,130.0
2015,116.0
2016,150.0
2017,154.0
2018,101.0
2019,114.0
2020,197.0
2021,139.0
2022,137.0
2023,166.0
2024,165.0
2025,147.0
2026,119.0
2027,123.0
2028,172.0
2029,154.0
2030,205.0
2031,109.0
2032,153.0
2033,139.0
2034,200.0
2035,129.0
2036,230.0
2037,144.0
2038,135.0
2039,197.0
2040,160.0
2041,233.0
2042,114.0
2043,170.0
2044,159.0
2045,120.0
2046,194.0
2047,139.0
2048,189.0
2049,154.0
2050,126.0
2051,163.0
2052,108.0
2053,154.0
2054,141.0
2055,198.0
2056,153.0
2057,99.0
2058,197.0
2059,156.0
2060,152.0
2061,188.0
2062,214.0
2063,129.0
2064,131.0
2065,148.0
2066,195.0
2067,185.0
2068,157.0
2069,135.0
2070,94.0
2071,138.0
2072,168.0
2073,152.0
2074,142.0
2075,101.0
2076,203.0
2077,127.0
2078,177.0
2079,158.0
2080,130.0
2081,210.0
2082,134.0
2083,150.0
2084,212.0
2085,164.0
2086,243.0
2087,130.0
2088,171.0
2089,117.0
2090,114.0
2091,158.0
2092,158.0
2093,169.0
2094,152.0
2095,153.0
2096,176.0
2097,163.0
2098,142.0
2099,154.0
2100,240.0
2101,186.0
2102,208.0
2103,180.0
2104,174.0
2105,147.0
2106,214.0
2107,173.0
2108,168.0
2109,126.0
2110,175.0
2111,155.0
2112,163.0
2113,165.0
2114,220.0
2115,208.0
2116,162.0
2117,187.0
2118,160.0
2119,154.0
2120,113.0
2121,142.0
2122,204.0
2123,101.0
2124,182.0
2125,149.0
2126,140.0
2127,182.0
2128,163.0
2129,135.0
2130,213.0
2131,153.0
2132,125.0
2133,142.0
2134,139.0
2135,152.0
2136,119.0
2137,207.0
2138,153.0
